resume_skills,jd_skills,projects,internships,certifications,cgpa,ats_score
react css mongodb express nodejs javascript python html,react nodejs mongodb javascript html css express,3,0,4,7.6,90.8
statistics java system design tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,4,2,4,8.8,45.83
statistics data analysis numpy,python machine learning statistics pandas numpy tensorflow data analysis,5,3,5,8.2,62.74
oops terraform mlops dbms,java dsa oops dbms system design sql,1,0,1,9.5,33.25
docker jenkins vector database,docker kubernetes linux jenkins terraform github actions,5,1,0,9.6,42.8
express langchain computer vision nlp tensorflow python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,1,3,2,7.4,71.27
docker linux aws terraform,aws azure gcp cloud security terraform linux,4,3,3,7.8,50.4
data analysis linux terraform jenkins nlp,docker kubernetes linux jenkins terraform github actions,1,3,3,8.2,57.1
azure data analysis numpy machine learning jenkins tensorflow pandas,python machine learning statistics pandas numpy tensorflow data analysis,3,0,1,8.8,65.47
power bi sql statistics oops python excel pandas,python sql power bi excel tableau statistics data visualization,4,1,4,7.0,74.07
transformers prompt engineering llm,python llm rag langchain transformers vector database prompt engineering,4,1,0,7.4,46.84
docker github actions,docker kubernetes linux jenkins terraform github actions,4,1,1,8.1,41.55
oops java llm dbms,java dsa oops dbms system design sql,4,1,3,6.7,56.35
aws terraform gcp,aws azure gcp cloud security terraform linux,2,2,0,7.2,38.6
docker system design terraform,docker kubernetes linux jenkins terraform github actions,2,0,2,7.0,35.5
rag python sql vector database,python llm rag langchain transformers vector database prompt engineering,2,0,1,7.9,30.88
react css mongodb express nodejs langchain dbms javascript html,react nodejs mongodb javascript html css express,3,2,3,9.0,96.0
oops java gcp,java dsa oops dbms system design sql,1,0,2,6.9,33.45
python power bi sql pytorch,python sql power bi excel tableau statistics data visualization,2,2,4,8.9,52.59
rag nodejs prompt engineering llm transformers machine learning vector database python,python llm rag langchain transformers vector database prompt engineering,2,2,1,7.5,79.54
kubernetes docker data analysis linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,5,0,0,7.3,76.15
statistics tableau excel sql,python sql power bi excel tableau statistics data visualization,5,0,2,7.8,59.76
statistics langchain css pandas,python machine learning statistics pandas numpy tensorflow data analysis,5,0,5,7.8,42.83
system design sql linux dsa java dbms tensorflow,java dsa oops dbms system design sql,4,3,5,6.9,90.45
python system design tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,2,1,8.7,39.28
power bi sql tableau statistics data visualization excel,python sql power bi excel tableau statistics data visualization,1,0,1,8.2,71.89
github actions kubernetes docker terraform jenkins,docker kubernetes linux jenkins terraform github actions,1,1,3,9.0,76.5
rag prompt engineering langchain llm transformers vector database python tensorflow,python llm rag langchain transformers vector database prompt engineering,4,1,1,8.7,91.85
power bi azure aws terraform statistics,aws azure gcp cloud security terraform linux,3,2,2,8.1,56.55
java system design sql dbms,java dsa oops dbms system design sql,1,3,5,7.4,72.2
mongodb css javascript,react nodejs mongodb javascript html css express,3,0,1,8.6,43.94
azure cloud security linux aws gcp terraform llm,aws azure gcp cloud security terraform linux,1,2,5,7.0,94.0
react css mongodb express nodejs terraform javascript html,react nodejs mongodb javascript html css express,2,1,2,7.7,88.85
python transformers llm vector database,python llm rag langchain transformers vector database prompt engineering,3,1,4,8.4,62.06
azure cloud security linux aws terraform javascript,aws azure gcp cloud security terraform linux,3,2,0,7.4,78.2
react css mongodb express nodejs javascript html,react nodejs mongodb javascript html css express,2,2,1,9.4,91.2
power bi prompt engineering gcp langchain vector database,python llm rag langchain transformers vector database prompt engineering,3,1,3,7.4,49.34
rag express prompt engineering langchain llm transformers deep learning python,python llm rag langchain transformers vector database prompt engineering,1,2,5,9.8,84.69
react css mongodb nodejs pandas tensorflow javascript html,react nodejs mongodb javascript html css express,1,0,1,8.4,71.99
numpy mlops nlp python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,2,1,5,7.6,61.16
kubernetes computer vision javascript python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,1,2,1,8.1,45.69
react mlops computer vision tensorflow pandas python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,2,1,2,8.8,67.97
html react javascript,react nodejs mongodb javascript html css express,2,2,2,7.6,48.94
rag mongodb prompt engineering azure,python llm rag langchain transformers vector database prompt engineering,5,1,2,9.4,42.13
github actions kubernetes docker linux tableau terraform jenkins,docker kubernetes linux jenkins terraform github actions,4,1,5,8.3,97.65
python data analysis sql,python machine learning statistics pandas numpy tensorflow data analysis,3,2,0,9.0,37.93
azure cloud security aws linux gcp,aws azure gcp cloud security terraform linux,1,2,3,9.8,79.9
sql dsa java transformers dbms,java dsa oops dbms system design sql,4,2,1,9.7,57.85
python nlp pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,5,1,3,9.7,43.78
docker gcp kubernetes,docker kubernetes linux jenkins terraform github actions,1,0,0,8.9,31.45
css prompt engineering langchain transformers python,python llm rag langchain transformers vector database prompt engineering,4,0,1,6.7,55.71
cloud security aws linux terraform gcp transformers excel,aws azure gcp cloud security terraform linux,2,1,5,7.4,80.7
dbms nodejs css html,react nodejs mongodb javascript html css express,3,3,5,7.8,58.54
mlops nlp pytorch python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,3,1,2,7.4,69.27
sql tableau dbms vector database data visualization python excel,python sql power bi excel tableau statistics data visualization,1,0,5,6.8,66.47
rag github actions linux,docker kubernetes linux jenkins terraform github actions,1,1,4,6.6,39.3
rag prompt engineering langchain llm transformers computer vision nlp vector database python,python llm rag langchain transformers vector database prompt engineering,5,1,2,8.0,95.0
react css nodejs java javascript tensorflow,react nodejs mongodb javascript html css express,3,3,3,6.6,65.66
rag css azure mongodb javascript,react nodejs mongodb javascript html css express,1,2,1,9.3,46.29
statistics machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,4,3,0,8.2,74.67
deep learning computer vision nlp python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,2,0,2,7.0,64.07
react css kubernetes express nodejs javascript,react nodejs mongodb javascript html css express,4,2,4,7.5,77.32
react mongodb express javascript html,react nodejs mongodb javascript html css express,1,3,2,7.8,71.47
kubernetes docker linux aws jenkins,docker kubernetes linux jenkins terraform github actions,3,1,4,8.1,69.05
linux llm mlops deep learning computer vision nlp tensorflow python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,3,3,2,9.2,97.6
mlops computer vision nlp tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,4,1,4,8.8,64.26
data analysis statistics machine learning python pandas,python machine learning statistics pandas numpy tensorflow data analysis,3,0,4,7.0,69.07
nodejs llm mlops computer vision tensorflow pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,3,1,3,7.7,60.21
aws cloud security linux gcp,aws azure gcp cloud security terraform linux,3,0,2,8.4,63.2
github actions kubernetes docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,2,3,0,8.9,92.45
oops java system design sql,java dsa oops dbms system design sql,1,3,5,6.6,71.8
deep learning computer vision nlp pytorch python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,4,0,5,8.9,73.52
oops sql dbms,java dsa oops dbms system design sql,1,0,4,8.1,49.55
express cloud security linux terraform,aws azure gcp cloud security terraform linux,4,3,0,7.0,58.0
express computer vision pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,5,1,3,7.5,42.68
system design sql linux dsa java oops dbms,java dsa oops dbms system design sql,1,2,5,8.0,94.5
excel sql javascript,python sql power bi excel tableau statistics data visualization,3,3,2,7.0,42.93
github actions kubernetes docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,1,1,1,6.8,84.9
python langchain transformers,python llm rag langchain transformers vector database prompt engineering,1,0,3,9.1,43.19
mlops deep learning computer vision pytorch nlp tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,1,1,5,9.7,81.64
langchain mlops deep learning computer vision tensorflow python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,5,2,2,9.1,87.84
rag prompt engineering llm vector database python,python llm rag langchain transformers vector database prompt engineering,5,0,2,6.7,69.92
rag prompt engineering langchain transformers vector database python,python llm rag langchain transformers vector database prompt engineering,5,0,3,6.7,82.14
data analysis llm machine learning python pandas,python machine learning statistics pandas numpy tensorflow data analysis,4,0,1,7.2,55.96
dsa nodejs linux jenkins,docker kubernetes linux jenkins terraform github actions,3,3,3,8.7,48.85
cloud security aws terraform azure,aws azure gcp cloud security terraform linux,1,2,3,6.8,65.9
system design sql java deep learning dbms tensorflow,java dsa oops dbms system design sql,5,1,4,9.2,73.6
rag system design prompt engineering llm langchain transformers vector database python,python llm rag langchain transformers vector database prompt engineering,1,0,2,7.9,83.95
power bi sql tableau statistics machine learning data visualization python excel,python sql power bi excel tableau statistics data visualization,1,0,5,8.3,88.65
linux aws terraform gcp dbms python,aws azure gcp cloud security terraform linux,5,0,0,9.1,64.55
power bi system design azure cloud security aws linux gcp terraform,aws azure gcp cloud security terraform linux,1,1,4,9.5,90.75
data analysis cloud security numpy machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,1,0,2,8.9,73.74
mongodb cloud security css gcp,react nodejs mongodb javascript html css express,2,3,3,7.3,42.58
prompt engineering langchain llm transformers machine learning vector database,python llm rag langchain transformers vector database prompt engineering,3,0,4,9.4,70.27
deep learning computer vision nlp tensorflow python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,5,2,3,7.5,88.54
statistics numpy,python machine learning statistics pandas numpy tensorflow data analysis,3,0,2,9.4,35.13
rag kubernetes prompt engineering aws langchain python,python llm rag langchain transformers vector database prompt engineering,4,3,3,9.0,68.86
system design dsa java oops dbms,java dsa oops dbms system design sql,3,3,1,7.5,82.75
express numpy deep learning computer vision tensorflow python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,3,2,0,6.8,68.97
mongodb cloud security aws linux gcp dsa,aws azure gcp cloud security terraform linux,3,2,1,9.8,68.4
github actions kubernetes docker express linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,5,3,1,8.1,99.55
azure cloud security linux aws terraform gcp jenkins,aws azure gcp cloud security terraform linux,2,1,1,8.4,87.7
data analysis statistics machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,2,3,5,7.5,88.54
dsa java sql dbms,java dsa oops dbms system design sql,1,0,0,6.8,55.4
react kubernetes nodejs linux jenkins,docker kubernetes linux jenkins terraform github actions,1,3,0,9.7,53.35
github actions kubernetes docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,5,1,4,9.8,98.9
python machine learning tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,5,0,1,7.9,36.88
data analysis aws numpy statistics machine learning pytorch tensorflow python pandas,python machine learning statistics pandas numpy tensorflow data analysis,1,3,2,8.9,93.45
system design sql oops java dsa jenkins dbms,java dsa oops dbms system design sql,1,1,1,8.7,85.85
css express nodejs tableau gcp javascript html,react nodejs mongodb javascript html css express,1,2,1,9.3,67.72
nodejs jenkins css kubernetes,docker kubernetes linux jenkins terraform github actions,2,3,5,8.5,49.75
mongodb linux aws terraform gcp data visualization,aws azure gcp cloud security terraform linux,3,0,0,8.0,60.0
dsa system design,java dsa oops dbms system design sql,3,2,0,9.2,41.6
prompt engineering llm gcp vector database python pandas,python llm rag langchain transformers vector database prompt engineering,5,1,5,8.3,67.51
azure cloud security linux aws gcp terraform mlops,aws azure gcp cloud security terraform linux,1,2,0,7.9,86.95
docker mlops computer vision python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,4,2,4,8.2,66.96
sql nodejs tableau data visualization python excel,python sql power bi excel tableau statistics data visualization,3,1,2,9.7,70.42
express cloud security aws nodejs terraform gcp,aws azure gcp cloud security terraform linux,1,3,3,9.1,70.05
data analysis terraform numpy machine learning tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,1,3,3,6.6,61.66
power bi sql statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,3,2,1,9.3,82.44
javascript python linux pandas,python machine learning statistics pandas numpy tensorflow data analysis,3,2,1,8.7,39.28
azure linux aws numpy gcp,aws azure gcp cloud security terraform linux,1,2,1,6.7,62.85
github actions kubernetes docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,3,0,3,7.8,89.4
docker github actions jenkins kubernetes,docker kubernetes linux jenkins terraform github actions,4,1,5,9.4,73.2
react css mongodb express nodejs javascript html,react nodejs mongodb javascript html css express,1,0,1,9.3,83.15
rag nodejs prompt engineering langchain llm transformers vector database python,python llm rag langchain transformers vector database prompt engineering,3,2,3,8.6,95.8
mongodb express,react nodejs mongodb javascript html css express,1,2,3,9.7,38.78
mongodb data analysis numpy machine learning computer vision,python machine learning statistics pandas numpy tensorflow data analysis,2,0,4,6.9,45.59
linux gcp,aws azure gcp cloud security terraform linux,3,3,0,7.6,43.8
kubernetes docker linux nlp jenkins,docker kubernetes linux jenkins terraform github actions,1,1,0,7.3,58.65
sql mlops deep learning computer vision nlp pytorch python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,1,2,0,9.1,87.55
mlops deep learning computer vision javascript python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,2,3,1,9.0,72.57
html aws css azure,aws azure gcp cloud security terraform linux,2,1,1,7.6,37.3
react css mongodb nodejs javascript,react nodejs mongodb javascript html css express,5,3,1,8.7,78.42
power bi sql docker tableau statistics javascript data visualization excel,python sql power bi excel tableau statistics data visualization,3,0,4,8.3,80.44
deep learning computer vision pytorch tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,5,3,2,7.7,68.71
system design nodejs prompt engineering langchain llm transformers python,python llm rag langchain transformers vector database prompt engineering,5,2,4,9.2,80.17
oops java power bi jenkins,java dsa oops dbms system design sql,4,0,4,7.6,42.8
data analysis css tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,1,0,9.8,35.33
css mongodb nodejs data analysis javascript html,react nodejs mongodb javascript html css express,4,1,4,9.4,75.27
mongodb nodejs tableau javascript,react nodejs mongodb javascript html css express,2,0,4,6.6,45.44
kubernetes tableau statistics computer vision excel,python sql power bi excel tableau statistics data visualization,2,3,5,9.0,57.14
dsa sql dbms,java dsa oops dbms system design sql,3,1,3,6.7,41.85
nodejs react javascript,react nodejs mongodb javascript html css express,5,0,3,9.0,51.14
system design sql docker dsa java oops dbms,java dsa oops dbms system design sql,3,2,0,7.1,90.55
system design sql mongodb dsa java oops dbms javascript,java dsa oops dbms system design sql,3,1,2,9.2,91.6
react mongodb express nodejs javascript excel html,react nodejs mongodb javascript html css express,3,1,5,8.4,84.99
dsa jenkins sql javascript,java dsa oops dbms system design sql,1,2,5,7.2,44.1
github actions mlops deep learning computer vision tensorflow python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,2,1,3,7.0,79.29
kubernetes docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,3,0,0,9.6,73.3
azure cloud security aws linux terraform gcp jenkins,aws azure gcp cloud security terraform linux,2,1,0,7.3,85.65
system design sql css oops java dsa dbms,java dsa oops dbms system design sql,2,1,2,7.7,76.35
azure cloud security linux aws machine learning javascript,aws azure gcp cloud security terraform linux,2,0,4,8.5,64.25
mlops deep learning computer vision nlp python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,4,0,5,9.5,84.54
python prompt engineering llm vector database,python llm rag langchain transformers vector database prompt engineering,4,3,3,6.8,67.76
mlops python transformers,python tensorflow pytorch deep learning nlp computer vision mlops,1,1,5,6.5,37.18
docker linux kubernetes,docker kubernetes linux jenkins terraform github actions,3,2,0,9.1,54.05
azure cloud security aws linux terraform gcp deep learning data visualization,aws azure gcp cloud security terraform linux,1,3,2,6.6,92.3
transformers prompt engineering,python llm rag langchain transformers vector database prompt engineering,1,3,3,7.3,40.58
react oops dbms javascript html,react nodejs mongodb javascript html css express,5,0,0,9.1,46.69
react css express javascript html,react nodejs mongodb javascript html css express,5,1,0,9.4,71.27
cloud security llm transformers vector database python,python llm rag langchain transformers vector database prompt engineering,1,3,3,8.2,62.46
data analysis numpy terraform statistics machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,3,2,7.6,96.8
oops java nodejs sql,java dsa oops dbms system design sql,4,3,5,7.9,65.95
javascript data analysis prompt engineering tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,3,3,9.1,45.48
power bi sql tableau statistics oops data visualization python,python sql power bi excel tableau statistics data visualization,5,2,1,8.3,85.94
react css mongodb express nodejs statistics javascript html,react nodejs mongodb javascript html css express,5,0,3,9.4,94.2
docker jenkins terraform kubernetes,docker kubernetes linux jenkins terraform github actions,4,1,5,7.0,72.0
azure express cloud security aws linux terraform gcp numpy,aws azure gcp cloud security terraform linux,2,2,1,6.7,89.85
kubernetes docker linux terraform oops jenkins,docker kubernetes linux jenkins terraform github actions,2,0,3,8.0,75.0
machine learning linux jenkins,docker kubernetes linux jenkins terraform github actions,2,1,1,8.2,37.6
sql tableau numpy statistics data visualization tensorflow,python sql power bi excel tableau statistics data visualization,3,3,2,8.2,64.96
express computer vision pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,4,0,2,9.7,37.28
mongodb express langchain,react nodejs mongodb javascript html css express,4,1,4,8.9,42.88
rag prompt engineering langchain llm transformers vector database python,python llm rag langchain transformers vector database prompt engineering,1,2,0,9.2,87.6
css mlops computer vision nlp pytorch tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,5,3,3,6.9,80.52
rag cloud security prompt engineering llm langchain transformers,python llm rag langchain transformers vector database prompt engineering,4,3,1,7.9,76.02
mongodb react nlp,react nodejs mongodb javascript html css express,5,3,0,7.9,44.38
power bi sql tableau statistics data visualization excel,python sql power bi excel tableau statistics data visualization,1,0,0,9.2,70.89
oops css dbms tensorflow,java dsa oops dbms system design sql,1,3,1,8.6,41.8
statistics nodejs excel sql,python sql power bi excel tableau statistics data visualization,3,0,3,6.7,45.99
react css docker nlp javascript html,react nodejs mongodb javascript html css express,5,2,2,8.4,66.06
cloud security aws llm gcp,aws azure gcp cloud security terraform linux,4,3,1,9.7,60.85
statistics linux jenkins terraform,aws azure gcp cloud security terraform linux,3,3,2,8.0,47.0
cloud security gcp,aws azure gcp cloud security terraform linux,1,0,4,8.0,37.0
data analysis numpy gcp statistics machine learning tensorflow python pandas,python machine learning statistics pandas numpy tensorflow data analysis,3,3,1,8.5,95.75
rag numpy nlp llm,python llm rag langchain transformers vector database prompt engineering,2,1,2,8.3,35.58
power bi sql system design tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,5,0,2,9.6,92.8
data analysis react jenkins javascript,react nodejs mongodb javascript html css express,2,1,4,8.9,38.88
rag prompt engineering vector database langchain transformers javascript,python llm rag langchain transformers vector database prompt engineering,3,2,0,9.0,59.36
oops java system design,java dsa oops dbms system design sql,4,0,0,6.6,48.8
react prompt engineering langchain llm vector database python excel,python llm rag langchain transformers vector database prompt engineering,5,1,1,9.5,72.82
jenkins terraform kubernetes,docker kubernetes linux jenkins terraform github actions,2,3,1,8.9,56.45
linux terraform,docker kubernetes linux jenkins terraform github actions,4,3,4,7.1,51.55
power bi express tableau statistics dbms data visualization,python sql power bi excel tableau statistics data visualization,4,1,5,8.8,65.76
mlops deep learning computer vision nlp python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,2,1,2,7.5,78.04
system design sql kubernetes tableau dsa java oops dbms,java dsa oops dbms system design sql,2,2,2,9.3,92.65
power bi sql tableau statistics data visualization python excel,python sql power bi excel tableau statistics data visualization,5,0,2,9.4,92.7
sql azure linux aws terraform gcp,aws azure gcp cloud security terraform linux,4,0,2,7.8,77.4
html mlops deep learning nlp tensorflow javascript python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,3,2,3,6.9,84.24
azure cloud security aws nodejs terraform,aws azure gcp cloud security terraform linux,4,0,4,7.6,67.8
dsa java system design oops,java dsa oops dbms system design sql,5,3,1,9.8,62.9
power bi tableau linux llm statistics data visualization excel,python sql power bi excel tableau statistics data visualization,1,3,0,8.9,69.02
cloud security aws linux terraform gcp oops,aws azure gcp cloud security terraform linux,1,3,2,8.0,80.5
mlops computer vision data analysis react,python tensorflow pytorch deep learning nlp computer vision mlops,1,0,0,6.6,26.73
express data analysis numpy statistics machine learning tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,3,2,7.9,75.52
prompt engineering numpy tensorflow pandas,python machine learning statistics pandas numpy tensorflow data analysis,4,0,4,9.3,50.79
github actions kubernetes docker linux terraform,docker kubernetes linux jenkins terraform github actions,4,3,3,7.5,87.75
python tensorflow pandas,python machine learning statistics pandas numpy tensorflow data analysis,2,2,2,8.3,38.58
react css mongodb express nodejs pytorch javascript html,react nodejs mongodb javascript html css express,4,1,3,7.4,94.2
machine learning numpy tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,0,0,7.5,41.89
power bi azure aws gcp computer vision,aws azure gcp cloud security terraform linux,2,3,0,8.0,54.5
cloud security gcp pandas,aws azure gcp cloud security terraform linux,5,0,4,8.8,45.4
machine learning tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,1,3,1,8.3,38.08
system design gcp dsa jenkins dbms,java dsa oops dbms system design sql,4,1,2,6.8,54.9
java sql css,java dsa oops dbms system design sql,3,1,2,7.3,40.65
github actions react express nodejs llm,react nodejs mongodb javascript html css express,2,3,4,9.3,55.79
power bi statistics data visualization python tensorflow,python sql power bi excel tableau statistics data visualization,2,1,3,7.4,47.34
cloud security aws terraform,aws azure gcp cloud security terraform linux,4,1,0,7.8,52.4
system design sql dbms,java dsa oops dbms system design sql,5,2,4,8.6,63.8
azure cloud security aws linux gcp terraform,aws azure gcp cloud security terraform linux,4,3,3,7.8,100.0
sql azure linux aws gcp terraform,aws azure gcp cloud security terraform linux,3,2,0,7.0,78.0
rag data analysis prompt engineering llm langchain transformers vector database tensorflow,python llm rag langchain transformers vector database prompt engineering,3,3,4,6.5,88.54
deep learning nlp tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,2,1,5,9.5,51.39
linux kubernetes,docker kubernetes linux jenkins terraform github actions,1,0,0,9.3,31.65
rag docker llm mlops transformers,python llm rag langchain transformers vector database prompt engineering,1,0,3,6.9,42.09
rag system design prompt engineering langchain transformers,python llm rag langchain transformers vector database prompt engineering,1,2,1,8.1,45.69
power bi tableau dsa statistics data visualization,python sql power bi excel tableau statistics data visualization,1,2,0,8.1,54.91
github actions kubernetes docker linux terraform langchain deep learning jenkins,docker kubernetes linux jenkins terraform github actions,1,1,4,8.0,90.0
data analysis numpy machine learning pandas python tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,3,0,3,9.0,79.29
transformers aws terraform,aws azure gcp cloud security terraform linux,3,3,1,9.8,46.4
rag prompt engineering langchain llm python html,python llm rag langchain transformers vector database prompt engineering,1,2,3,9.2,70.67
system design sql dsa deep learning oops,java dsa oops dbms system design sql,5,2,2,7.2,72.6
rag python express cloud security,python llm rag langchain transformers vector database prompt engineering,1,0,3,7.2,31.53
python tableau excel deep learning,python sql power bi excel tableau statistics data visualization,3,0,3,7.4,46.34
power bi tableau statistics data visualization excel,python sql power bi excel tableau statistics data visualization,2,0,0,8.8,61.97
aws cloud security linux azure,aws azure gcp cloud security terraform linux,5,1,1,6.8,67.9
github actions jenkins,docker kubernetes linux jenkins terraform github actions,5,2,5,8.7,52.85
