skills,projects,internships,certifications,cgpa,target_role
gcp aws cloud security terraform,4,0,3,9.5,Cloud Engineer
machine learning pandas numpy data analysis python statistics tensorflow,3,2,2,7.5,Data Scientist
deep learning python mlops nlp computer vision,1,3,2,6.6,ML Engineer
html javascript css nodejs,1,0,0,9.4,Full Stack Developer
dbms oops sql system design dsa,1,2,0,7.9,Software Engineer
mlops computer vision python tensorflow,5,2,0,7.8,ML Engineer
dsa oops system design dbms sql,4,0,3,9.0,Software Engineer
power bi tableau excel data visualization python,2,2,5,8.3,Data Analyst
docker jenkins linux terraform github actions kubernetes,4,0,2,8.9,DevOps Engineer
html javascript css react nodejs express mongodb,4,3,0,6.9,Full Stack Developer
data analysis numpy python statistics machine learning tensorflow pandas,4,0,2,9.2,Data Scientist
express css mongodb html javascript react,3,3,3,9.2,Full Stack Developer
statistics numpy data analysis tensorflow machine learning pandas,4,2,0,6.6,Data Scientist
system design oops sql dbms java dsa,1,2,1,7.5,Software Engineer
terraform github actions jenkins linux,4,3,0,8.5,DevOps Engineer
python fastapi flask django postgresql,4,1,4,8.6,Python Developer
terraform kubernetes linux github actions,2,0,3,7.4,DevOps Engineer
rest api java mysql spring boot,3,1,0,9.3,Java Developer
python machine learning numpy data analysis,2,1,1,8.4,Data Scientist
css react express html mongodb,1,1,5,9.7,Full Stack Developer
llm prompt engineering python rag transformers langchain,2,2,2,8.0,AI Engineer
terraform kubernetes github actions jenkins linux docker,4,0,2,6.6,DevOps Engineer
spring boot java hibernate rest api,2,2,2,7.0,Java Developer
linux cloud security azure terraform javascript,1,0,3,6.7,Cloud Engineer
linux azure gcp cloud security terraform aws,3,2,1,6.5,Cloud Engineer
dbms system design sql dsa java,4,1,3,8.4,Software Engineer
javascript nodejs css mongodb,4,0,0,8.4,Full Stack Developer
tableau statistics excel sql data visualization,5,1,1,7.2,Data Analyst
express html react nodejs,5,3,4,6.9,Full Stack Developer
css html nodejs react javascript dsa,3,2,4,8.7,Full Stack Developer
tensorflow numpy data analysis machine learning pandas,2,3,4,8.1,Data Scientist
postgresql python django fastapi,5,3,0,6.9,Python Developer
hibernate java rest api spring boot mysql,1,0,4,7.9,Java Developer
prompt engineering vector database langchain rag transformers llm python,3,3,2,8.5,AI Engineer
python numpy pandas tensorflow,5,0,0,8.3,Data Scientist
github actions linux jenkins terraform kubernetes,5,0,1,9.3,DevOps Engineer
vector database rag llm transformers python postgresql,2,2,4,9.6,AI Engineer
tensorflow pandas machine learning statistics numpy,4,1,2,8.1,Data Scientist
terraform aws azure gcp,1,0,4,8.7,Cloud Engineer
sql tableau python power bi statistics excel data visualization,2,2,4,7.7,Data Analyst
sql dsa system design dbms java oops deep learning,5,0,2,7.9,Software Engineer
mongodb express nodejs css,1,2,5,9.7,Full Stack Developer
mongodb nodejs html express css react javascript,4,2,1,7.3,Full Stack Developer
github actions kubernetes linux terraform html,2,2,2,9.8,DevOps Engineer
css express mongodb javascript html react,3,3,4,9.1,Full Stack Developer
kubernetes docker jenkins github actions terraform,5,0,0,8.7,DevOps Engineer
nlp deep learning pytorch mlops computer vision tensorflow,3,1,3,9.5,ML Engineer
numpy machine learning data analysis tensorflow statistics pandas python tableau,4,0,0,8.7,Data Scientist
terraform github actions linux jenkins,2,2,3,7.8,DevOps Engineer
html react nodejs mongodb,4,3,0,7.9,Full Stack Developer
terraform github actions jenkins linux,3,1,1,6.9,DevOps Engineer
numpy python pandas statistics tensorflow machine learning data analysis,5,2,5,8.6,Data Scientist
pandas numpy tensorflow machine learning python statistics,5,3,2,6.9,Data Scientist
gcp linux terraform azure,1,2,2,6.8,Cloud Engineer
linux gcp aws cloud security,5,2,1,8.8,Cloud Engineer
langchain transformers vector database python llm rag,5,0,1,8.4,AI Engineer
fastapi flask python postgresql,1,2,3,8.9,Python Developer
css mongodb javascript react nodejs html express,5,3,3,6.9,Full Stack Developer
azure linux aws gcp terraform cloud security,1,1,5,9.7,Cloud Engineer
dbms oops dsa system design java sql,4,1,1,7.8,Software Engineer
dsa system design oops java sql dbms nodejs,3,1,4,9.3,Software Engineer
python computer vision mlops nlp pytorch tensorflow,3,1,5,7.3,ML Engineer
flask django fastapi python postgresql,5,0,1,7.7,Python Developer
numpy tensorflow data analysis python pandas machine learning statistics,4,1,3,8.2,Data Scientist
sql java system design dbms oops dsa,2,3,0,7.5,Software Engineer
prompt engineering python langchain rag llm transformers,5,1,1,8.4,AI Engineer
data analysis pandas tensorflow statistics,4,1,4,8.6,Data Scientist
llm rag langchain prompt engineering transformers python,3,3,3,6.7,AI Engineer
pytorch tensorflow mlops python computer vision nlp,1,0,5,9.6,ML Engineer
python prompt engineering rag vector database llm transformers langchain,2,2,3,7.3,AI Engineer
css react nodejs javascript express,5,1,2,8.6,Full Stack Developer
rest api spring boot hibernate mysql java,4,0,1,7.3,Java Developer
terraform jenkins docker linux github actions,5,0,5,7.5,DevOps Engineer
llm rag python prompt engineering transformers,4,1,1,7.9,AI Engineer
pandas machine learning numpy python statistics data analysis tensorflow,1,3,0,9.5,Data Scientist
spring boot java mysql rest api,5,2,2,8.1,Java Developer
java dbms sql oops system design,4,0,1,7.3,Software Engineer
python machine learning pandas data analysis statistics,5,1,4,7.8,Data Scientist
jenkins kubernetes github actions terraform linux system design,5,2,5,6.7,DevOps Engineer
terraform aws linux azure cloud security gcp,4,2,2,8.7,Cloud Engineer
rest api java mysql hibernate spring boot,2,3,3,8.8,Java Developer
mysql java rest api hibernate,1,2,4,9.3,Java Developer
deep learning python nlp mlops pytorch tensorflow,1,2,5,9.2,ML Engineer
data analysis pandas statistics numpy python tensorflow,5,0,5,7.3,Data Scientist
react nodejs css express mongodb html javascript,5,3,3,8.1,Full Stack Developer
computer vision tensorflow nlp mlops deep learning python pytorch,1,0,5,9.5,ML Engineer
java dbms sql oops system design,2,1,5,7.0,Software Engineer
rest api hibernate mysql java spring boot prompt engineering,5,3,4,7.8,Java Developer
statistics tensorflow machine learning data analysis pandas python,3,3,0,8.3,Data Scientist
linux terraform gcp azure,5,1,5,7.5,Cloud Engineer
linux azure cloud security terraform,1,1,3,7.2,Cloud Engineer
prompt engineering rag langchain transformers,1,2,3,9.7,AI Engineer
computer vision tensorflow nlp mlops pytorch,1,0,4,7.9,ML Engineer
oops dsa system design java sql dbms,1,3,1,9.2,Software Engineer
django fastapi flask python postgresql,2,2,2,6.9,Python Developer
gcp cloud security aws linux,5,1,2,9.7,Cloud Engineer
terraform aws linux gcp cloud security azure,4,0,4,7.6,Cloud Engineer
kubernetes linux jenkins docker terraform,1,1,3,9.2,DevOps Engineer
html css express mongodb,1,3,2,9.5,Full Stack Developer
postgresql fastapi python flask django,1,3,1,8.8,Python Developer
data analysis numpy machine learning tensorflow,4,1,1,7.0,Data Scientist
kubernetes docker github actions terraform,5,0,5,7.0,DevOps Engineer
dsa oops system design dbms,2,2,0,7.1,Software Engineer
html javascript react css mongodb,4,2,2,7.8,Full Stack Developer
pytorch nlp python deep learning computer vision mlops data analysis,5,3,5,8.5,ML Engineer
llm langchain python transformers,5,0,5,8.5,AI Engineer
django python fastapi flask,1,0,2,8.6,Python Developer
numpy statistics pandas python,2,0,4,8.6,Data Scientist
tableau excel data visualization statistics python,2,1,1,9.7,Data Analyst
linux docker github actions kubernetes terraform jenkins hibernate,3,3,2,7.5,DevOps Engineer
dsa sql oops system design prompt engineering,1,0,3,8.6,Software Engineer
transformers langchain rag llm statistics,5,1,1,9.3,AI Engineer
hibernate java spring boot mysql rest api,3,1,2,7.0,Java Developer
data analysis numpy pandas machine learning python tensorflow statistics,3,0,5,8.7,Data Scientist
python power bi statistics sql data visualization,1,1,2,8.0,Data Analyst
deep learning mlops nlp tensorflow,3,1,4,9.5,ML Engineer
jenkins terraform github actions kubernetes linux docker cloud security,2,3,0,8.8,DevOps Engineer
mlops python deep learning tensorflow computer vision nlp,5,2,1,8.7,ML Engineer
docker kubernetes linux jenkins github actions terraform,3,1,4,7.1,DevOps Engineer
python transformers prompt engineering langchain llm vector database,4,3,3,8.4,AI Engineer
oops system design dsa sql java,2,3,5,7.7,Software Engineer
sql power bi statistics excel,2,0,5,8.0,Data Analyst
hibernate rest api java spring boot,4,1,5,9.7,Java Developer
cloud security terraform linux aws azure,5,2,1,8.7,Cloud Engineer
css express javascript mongodb react nodejs html django,1,2,1,9.5,Full Stack Developer
jenkins docker kubernetes github actions,1,1,3,7.3,DevOps Engineer
flask postgresql django fastapi,1,3,4,9.2,Python Developer
pandas machine learning statistics data analysis numpy tensorflow,3,0,3,7.1,Data Scientist
jenkins kubernetes docker terraform linux,2,2,3,7.8,DevOps Engineer
rest api spring boot mysql hibernate,3,0,5,7.8,Java Developer
langchain transformers prompt engineering vector database rag llm,5,2,5,8.3,AI Engineer
linux aws cloud security terraform azure,5,1,5,8.4,Cloud Engineer
linux cloud security azure gcp,4,2,4,7.2,Cloud Engineer
computer vision nlp tensorflow python,4,3,4,9.8,ML Engineer
fastapi python django postgresql,1,3,5,7.7,Python Developer
rag langchain python prompt engineering transformers,3,0,1,9.4,AI Engineer
flask fastapi django python postgresql,4,2,3,9.7,Python Developer
sql system design dbms dsa,1,3,1,7.3,Software Engineer
docker github actions kubernetes jenkins terraform linux,1,1,3,7.1,DevOps Engineer
postgresql fastapi python django flask,2,2,4,7.5,Python Developer
llm prompt engineering rag python,4,0,2,7.4,AI Engineer
gcp aws linux cloud security azure,3,2,4,7.2,Cloud Engineer
java hibernate rest api spring boot,3,1,0,7.3,Java Developer
sql oops dsa system design dbms,1,0,4,9.4,Software Engineer
rag vector database llm langchain jenkins,4,2,0,7.8,AI Engineer
terraform azure aws linux gcp,1,3,4,7.4,Cloud Engineer
jenkins terraform docker linux kubernetes,2,1,2,8.8,DevOps Engineer
rest api spring boot hibernate mysql,4,2,0,8.9,Java Developer
flask django fastapi python postgresql,5,3,2,9.1,Python Developer
python prompt engineering vector database llm rag transformers langchain,1,3,3,8.5,AI Engineer
data analysis statistics python tensorflow,2,1,2,6.7,Data Scientist
django python postgresql fastapi flask,1,0,4,6.9,Python Developer
data analysis pandas numpy tensorflow statistics,1,3,2,8.2,Data Scientist
tableau statistics python excel,1,3,5,6.7,Data Analyst
nlp python deep learning computer vision pytorch mlops,4,0,3,7.6,ML Engineer
mysql java rest api spring boot hibernate,3,2,0,9.5,Java Developer
dbms system design sql java oops,4,0,1,7.4,Software Engineer
langchain transformers llm rag vector database prompt engineering python,1,3,2,9.4,AI Engineer
javascript nodejs express react mongodb css html,3,2,1,7.9,Full Stack Developer
gcp azure cloud security terraform,1,1,5,8.1,Cloud Engineer
pytorch mlops deep learning computer vision,2,2,4,7.3,ML Engineer
data visualization excel statistics tableau python,3,1,2,9.4,Data Analyst
langchain llm transformers python rag,3,2,0,7.1,AI Engineer
python computer vision nlp tensorflow,4,3,2,9.5,ML Engineer
machine learning statistics numpy pandas data analysis python tensorflow,2,1,0,8.2,Data Scientist
nodejs mongodb react javascript html,3,0,5,8.5,Full Stack Developer
python django fastapi flask,5,0,0,8.3,Python Developer
rest api mysql java hibernate,4,1,1,7.9,Java Developer
sql tableau python data visualization power bi,1,3,4,7.0,Data Analyst
docker terraform linux github actions,5,1,0,9.2,DevOps Engineer
statistics tableau sql power bi excel python,5,3,1,6.8,Data Analyst
numpy python data analysis tensorflow statistics pandas,2,0,4,9.1,Data Scientist
data visualization sql power bi tableau statistics excel python,2,0,4,7.2,Data Analyst
python vector database transformers rag llm,1,1,1,6.5,AI Engineer
terraform gcp aws linux cloud security azure pandas,1,3,4,9.5,Cloud Engineer
spring boot rest api mysql java,5,0,4,8.8,Java Developer
numpy machine learning pandas statistics data analysis tensorflow,2,3,4,8.9,Data Scientist
nlp mlops python computer vision,3,3,1,7.9,ML Engineer
django python flask postgresql fastapi,1,1,1,7.7,Python Developer
sql java dsa oops system design css,1,0,4,9.7,Software Engineer
tableau excel data visualization sql power bi python statistics oops,4,1,2,7.9,Data Analyst
nlp mlops deep learning python tensorflow pytorch computer vision,1,3,4,8.3,ML Engineer
mysql hibernate java spring boot rest api,5,0,1,7.9,Java Developer
linux azure cloud security aws,3,0,5,6.5,Cloud Engineer
cloud security terraform linux aws azure,3,0,3,7.3,Cloud Engineer
computer vision python deep learning mlops html,1,1,1,8.9,ML Engineer
python data visualization statistics power bi sql react,1,0,2,8.5,Data Analyst
github actions linux jenkins docker kubernetes,1,0,4,8.7,DevOps Engineer
numpy tensorflow python data analysis statistics machine learning pandas,2,0,2,9.4,Data Scientist
terraform gcp linux cloud security azure pandas,1,2,2,8.7,Cloud Engineer
machine learning tensorflow python statistics numpy,4,0,1,6.7,Data Scientist
github actions terraform kubernetes linux,3,1,1,6.8,DevOps Engineer
react javascript html nodejs mongodb,1,3,1,6.9,Full Stack Developer
terraform github actions linux kubernetes data visualization,1,0,2,7.3,DevOps Engineer
statistics numpy pandas machine learning,3,1,0,6.7,Data Scientist
hibernate mysql rest api spring boot java,3,3,1,9.2,Java Developer
system design sql oops java dsa dbms fastapi,2,1,5,7.8,Software Engineer
fastapi postgresql django python,1,1,5,8.0,Python Developer
tensorflow deep learning computer vision nlp python pytorch mlops,4,0,5,7.7,ML Engineer
prompt engineering langchain python vector database,5,1,5,8.7,AI Engineer
nodejs mongodb css javascript react,4,3,5,9.3,Full Stack Developer
tensorflow pytorch python nlp mlops deep learning,2,0,4,9.1,ML Engineer
system design java sql dbms dsa,4,2,5,9.3,Software Engineer
postgresql flask python django fastapi,5,1,3,8.9,Python Developer
data visualization tableau python sql statistics,2,3,5,7.6,Data Analyst
java sql system design dbms dsa oops,5,2,5,6.7,Software Engineer
cloud security azure gcp aws,5,0,4,7.1,Cloud Engineer
java sql oops dbms,4,0,3,9.7,Software Engineer
python django postgresql fastapi flask,5,2,5,7.5,Python Developer
hibernate mysql spring boot rest api java,5,2,4,9.7,Java Developer
pandas data analysis machine learning statistics numpy tensorflow python,1,2,5,7.5,Data Scientist
spring boot hibernate rest api java pytorch,3,2,1,9.0,Java Developer
python computer vision deep learning tensorflow mlops pytorch,2,3,1,8.2,ML Engineer
react html express css mongodb javascript nodejs,4,1,3,7.3,Full Stack Developer
hibernate mysql rest api spring boot,2,2,5,8.0,Java Developer
pytorch deep learning mlops tensorflow nlp computer vision python,3,0,1,9.4,ML Engineer
vector database prompt engineering transformers langchain rag,2,2,3,8.3,AI Engineer
aws azure terraform linux cloud security,5,1,4,8.0,Cloud Engineer
django python postgresql fastapi,1,3,2,9.5,Python Developer
power bi statistics tableau excel sql data visualization,5,0,3,9.0,Data Analyst
gcp aws terraform cloud security linux azure,3,1,2,9.1,Cloud Engineer
statistics python data visualization power bi nodejs,1,0,2,7.6,Data Analyst
express nodejs react html css javascript mongodb,5,3,2,7.0,Full Stack Developer
mysql hibernate rest api spring boot,1,1,1,7.5,Java Developer
react html express css mongodb nodejs,1,0,3,9.5,Full Stack Developer
statistics data analysis python tensorflow numpy pandas,4,2,0,7.8,Data Scientist
python tableau statistics sql power bi data visualization excel java,1,2,5,7.9,Data Analyst
python pandas machine learning tensorflow statistics numpy data analysis,4,0,4,7.3,Data Scientist
rest api mysql java hibernate,4,0,4,7.3,Java Developer
fastapi flask django postgresql,4,2,2,8.4,Python Developer
aws cloud security linux azure gcp terraform,1,2,3,7.1,Cloud Engineer
python deep learning computer vision tensorflow,4,2,3,8.1,ML Engineer
kubernetes jenkins terraform docker,3,0,5,7.4,DevOps Engineer
cloud security gcp terraform linux,4,3,3,7.0,Cloud Engineer
gcp cloud security azure terraform,4,1,0,8.9,Cloud Engineer
vector database python prompt engineering transformers rag,4,2,3,9.2,AI Engineer
pytorch mlops python computer vision nlp,3,0,1,9.4,ML Engineer
mongodb javascript react html nodejs,5,0,4,8.1,Full Stack Developer
pandas statistics python numpy tensorflow machine learning data analysis,1,3,1,7.9,Data Scientist
aws gcp linux cloud security terraform,1,0,4,8.2,Cloud Engineer
express javascript css html,4,0,0,8.8,Full Stack Developer
rag transformers llm python langchain prompt engineering vector database,2,2,5,8.2,AI Engineer
python flask postgresql fastapi,2,2,0,6.8,Python Developer
fastapi python postgresql flask django,5,0,0,9.4,Python Developer
sql excel statistics python data visualization tableau,4,2,1,8.8,Data Analyst
numpy python data analysis tensorflow machine learning pandas,2,2,4,9.5,Data Scientist
terraform jenkins kubernetes docker,1,1,5,9.7,DevOps Engineer
tableau power bi data visualization sql excel python,2,3,3,9.3,Data Analyst
power bi sql data visualization excel python statistics tableau,5,3,5,9.0,Data Analyst
django fastapi python postgresql,1,3,3,8.6,Python Developer
nodejs express html mongodb javascript css react,2,2,1,6.6,Full Stack Developer
css express mongodb react javascript nodejs,2,0,5,6.5,Full Stack Developer
docker linux terraform jenkins kubernetes github actions,1,3,2,8.3,DevOps Engineer
deep learning computer vision tensorflow nlp pytorch,5,0,0,8.0,ML Engineer
python pandas machine learning numpy,3,0,1,9.1,Data Scientist
power bi sql tableau data visualization python excel statistics,3,2,1,6.8,Data Analyst
kubernetes terraform github actions jenkins linux docker,5,1,3,9.5,DevOps Engineer
cloud security terraform azure aws,3,2,5,8.8,Cloud Engineer
deep learning python mlops pytorch tensorflow,1,1,2,8.5,ML Engineer
pytorch tensorflow computer vision python deep learning nlp,1,0,5,7.0,ML Engineer
python data visualization power bi statistics jenkins,2,0,3,7.3,Data Analyst
terraform cloud security aws linux gcp,4,1,0,9.4,Cloud Engineer
mongodb javascript nodejs react express,2,0,1,6.8,Full Stack Developer
python prompt engineering langchain vector database transformers rag,1,3,3,7.4,AI Engineer
terraform linux azure aws cloud security,4,3,2,7.0,Cloud Engineer
mysql rest api java spring boot hibernate,4,0,0,9.5,Java Developer
flask fastapi python postgresql,5,3,2,6.6,Python Developer
java oops dsa dbms system design,4,0,3,9.0,Software Engineer
statistics sql excel python tableau power bi data visualization,1,1,0,7.6,Data Analyst
rest api hibernate mysql spring boot,3,1,3,7.9,Java Developer
linux github actions terraform kubernetes jenkins azure,3,2,1,6.8,DevOps Engineer
postgresql django fastapi flask,1,2,5,7.6,Python Developer
dsa system design dbms oops java,5,2,1,9.2,Software Engineer
java hibernate rest api mysql spring boot,1,1,1,9.4,Java Developer
nlp computer vision tensorflow pytorch mlops,5,2,4,9.2,ML Engineer
nodejs express html css javascript mongodb,3,1,4,7.4,Full Stack Developer
css nodejs mongodb react,2,0,2,7.7,Full Stack Developer
cloud security gcp terraform aws data analysis,3,0,0,7.8,Cloud Engineer
css react nodejs javascript mongodb express,4,1,4,8.1,Full Stack Developer
sql python statistics excel tableau power bi,5,1,2,7.4,Data Analyst
kubernetes jenkins docker terraform,4,3,2,8.2,DevOps Engineer
excel sql statistics python data visualization tableau power bi,3,3,1,7.1,Data Analyst
pandas machine learning data analysis statistics tensorflow numpy python react,5,0,4,8.2,Data Scientist
dbms system design oops sql dsa java,4,3,3,7.9,Software Engineer
python tensorflow computer vision deep learning,1,2,1,8.2,ML Engineer
gcp linux cloud security azure,2,3,2,7.3,Cloud Engineer
rag transformers langchain llm python vector database prompt engineering,2,0,4,7.6,AI Engineer
linux terraform docker jenkins github actions,2,1,2,6.8,DevOps Engineer
langchain prompt engineering python vector database rag transformers,3,2,5,8.0,AI Engineer
pytorch python nlp computer vision,1,3,1,7.1,ML Engineer
tensorflow pytorch nlp deep learning computer vision mlops python,3,2,4,8.3,ML Engineer
mongodb express html css,3,2,1,9.7,Full Stack Developer
deep learning pytorch mlops tensorflow nlp,2,2,0,9.3,ML Engineer
data analysis machine learning pandas statistics tensorflow numpy,5,3,3,8.5,Data Scientist
github actions linux jenkins docker kubernetes,3,0,1,8.9,DevOps Engineer
machine learning python numpy statistics pandas,1,0,1,7.4,Data Scientist
tableau excel python power bi statistics,1,3,3,8.5,Data Analyst
hibernate java rest api mysql,3,2,3,9.7,Java Developer
kubernetes docker linux terraform jenkins github actions,5,3,3,9.0,DevOps Engineer
html nodejs react express,3,1,3,6.7,Full Stack Developer
numpy machine learning pandas data analysis statistics,5,2,0,8.1,Data Scientist
terraform aws gcp azure cloud security,4,2,5,9.1,Cloud Engineer
dsa sql java oops dbms tableau,4,0,4,8.3,Software Engineer
tensorflow computer vision nlp deep learning python pytorch mlops,3,0,4,7.3,ML Engineer
terraform docker jenkins kubernetes linux github actions oops,2,0,5,6.6,DevOps Engineer
numpy tensorflow python machine learning statistics pandas,1,3,2,8.6,Data Scientist
aws linux terraform azure cloud security gcp docker,1,0,5,8.4,Cloud Engineer
javascript mongodb nodejs html computer vision,3,1,1,9.3,Full Stack Developer
dbms dsa sql java oops,1,2,2,9.7,Software Engineer
power bi excel tableau sql data visualization,3,0,5,8.1,Data Analyst
deep learning python pytorch tensorflow,5,1,3,8.9,ML Engineer
nodejs react html mongodb,1,3,2,8.5,Full Stack Developer
github actions jenkins linux docker terraform kubernetes,1,0,2,8.4,DevOps Engineer
tableau excel python sql statistics data visualization power bi,1,3,5,6.6,Data Analyst
deep learning nlp mlops python tensorflow pytorch,4,2,2,6.6,ML Engineer
terraform jenkins kubernetes github actions linux docker vector database,2,2,1,6.9,DevOps Engineer
terraform linux jenkins docker kubernetes,4,0,3,9.1,DevOps Engineer
fastapi python postgresql flask django,2,1,4,9.7,Python Developer
hibernate mysql rest api spring boot java,3,0,0,7.1,Java Developer
python deep learning pytorch tensorflow mlops nlp,4,2,2,8.9,ML Engineer
data analysis tensorflow pandas numpy python machine learning statistics,1,0,1,8.9,Data Scientist
langchain transformers rag python,2,2,5,8.3,AI Engineer
sql excel tableau power bi statistics python data visualization,3,3,3,8.8,Data Analyst
rag transformers llm python prompt engineering vector database langchain,3,2,2,9.5,AI Engineer
computer vision mlops tensorflow pytorch nlp,4,3,3,8.6,ML Engineer
linux github actions jenkins terraform kubernetes docker,3,1,4,8.0,DevOps Engineer
pandas machine learning numpy python data analysis statistics,5,1,4,7.9,Data Scientist
rest api java spring boot hibernate mysql,5,3,2,7.1,Java Developer
data analysis tensorflow statistics numpy machine learning python pandas,1,1,5,7.1,Data Scientist
html react nodejs javascript mongodb,4,3,0,7.2,Full Stack Developer
terraform azure cloud security aws gcp deep learning,5,2,0,8.8,Cloud Engineer
python tableau sql data visualization,4,1,0,9.4,Data Analyst
kubernetes docker jenkins github actions,3,2,1,7.4,DevOps Engineer
css html nodejs mongodb express react javascript,3,3,1,8.0,Full Stack Developer
nodejs mongodb html express,3,2,0,9.7,Full Stack Developer
pytorch computer vision python tensorflow mlops nlp deep learning,2,3,2,9.6,ML Engineer
terraform jenkins github actions kubernetes,2,3,3,7.2,DevOps Engineer
azure cloud security gcp terraform aws,5,0,4,8.3,Cloud Engineer
css html react mongodb oops,4,1,3,8.4,Full Stack Developer
css react html javascript express,1,2,5,9.2,Full Stack Developer
java oops dsa system design,3,3,5,9.1,Software Engineer
deep learning pytorch mlops python,3,0,0,7.1,ML Engineer
github actions jenkins linux kubernetes terraform docker,2,0,0,9.2,DevOps Engineer
mongodb react javascript html nodejs express,3,0,2,9.5,Full Stack Developer
rag langchain transformers llm,3,3,0,9.4,AI Engineer
deep learning pytorch computer vision mlops python nlp,4,1,3,7.2,ML Engineer
express html react nodejs mongodb django,5,3,0,7.0,Full Stack Developer
transformers rag prompt engineering langchain,5,3,0,8.8,AI Engineer
nodejs javascript html express react langchain,3,2,2,6.7,Full Stack Developer
linux docker kubernetes jenkins github actions,3,0,1,9.6,DevOps Engineer
linux docker kubernetes terraform jenkins,3,2,3,8.6,DevOps Engineer
computer vision nlp python mlops tensorflow,3,1,3,9.1,ML Engineer
vector database transformers llm langchain python,5,0,3,9.6,AI Engineer
nlp deep learning tensorflow mlops computer vision,2,3,4,7.2,ML Engineer
dbms java dsa sql oops system design fastapi,4,2,2,8.4,Software Engineer
flask python postgresql fastapi django,1,0,0,6.8,Python Developer
kubernetes github actions terraform jenkins docker linux,4,3,0,7.5,DevOps Engineer
numpy python pandas tensorflow statistics data analysis dsa,4,3,0,8.8,Data Scientist
deep learning computer vision python pytorch mlops tensorflow machine learning,1,0,5,9.3,ML Engineer
sql java system design dsa dbms oops postgresql,4,1,1,9.3,Software Engineer
numpy machine learning data analysis tensorflow excel,3,3,2,9.2,Data Scientist
system design sql java dbms hibernate,2,2,5,7.1,Software Engineer
llm python rag transformers,5,0,1,8.5,AI Engineer
deep learning mlops pytorch tensorflow,2,0,2,7.1,ML Engineer
rest api hibernate mysql spring boot java,5,3,1,9.4,Java Developer
azure cloud security aws linux,1,3,4,7.4,Cloud Engineer
pandas machine learning python statistics,3,1,0,9.0,Data Scientist
java mysql rest api spring boot hibernate,5,0,0,8.7,Java Developer
python django postgresql flask fastapi,5,1,4,6.8,Python Developer
mlops pytorch tensorflow nlp computer vision,4,3,4,8.4,ML Engineer
python transformers vector database prompt engineering langchain,2,1,1,7.3,AI Engineer
terraform github actions linux kubernetes,1,0,2,8.9,DevOps Engineer
dbms dsa sql java system design oops,3,0,4,6.7,Software Engineer
power bi python tableau excel statistics data visualization sql,4,2,3,7.3,Data Analyst
react mongodb javascript html,1,3,3,7.6,Full Stack Developer
statistics tensorflow numpy machine learning python pandas data analysis,3,1,4,9.1,Data Scientist
